ANZSCO,Occupation,National future Demand,Shortage Driver,National Shortage Rating,New South Wales Shortage Rating,Victoria Shortage Rating,Queensland Shortage Rating,South Australia Shortage Rating,Western Australia Shortage Rating,Tasmania Shortage Rating,Northern Territory Shortage Rating,Australian Capital Territory Shortage Rating
1111,Chief Executives and Managing Directors,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
1112,General Managers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
1211,Aquaculture Farmers,Below economy-wide average,,No Shortage,Regional Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
1213,Livestock Farmers,Below economy-wide average,,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
1215,Broadacre Crop Growers,Below economy-wide average,,No Shortage,Regional Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
1216,Horticultural Crop Growers,Below economy-wide average,,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
1217,Mixed Production Farmers,Below economy-wide average,,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
1311,"Advertising, Public Relations and Sales Managers",At economy-wide average,Suitability Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
1321,Corporate Services Managers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
1322,Finance Managers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
1323,Human Resource Managers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,Shortage,No Shortage
1324,Policy and Planning Managers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
1325,Research and Development Managers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
1331,Construction Managers,At economy-wide average,Suitability Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
1332,Engineering Managers,At economy-wide average,Suitability Gap,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage
1333,"Importers, Exporters and Wholesalers",At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
1334,Manufacturers,At economy-wide average,,No Shortage,Shortage,No Shortage,Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage
1335,Production Managers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
1336,"Supply, Distribution and Procurement Managers",At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
1341,Child Care Centre Managers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage
1342,Health and Welfare Services Managers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,Regional Shortage,Shortage,No Shortage,Shortage,No Shortage
1343,School Principals,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage
1344,Other Education Managers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
1351,ICT Managers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
1399,Other Specialist Managers,At economy-wide average,,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
1411,Cafe and Restaurant Managers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
1412,Caravan Park and Camping Ground Managers,At economy-wide average,,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
1413,Hotel and Motel Managers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,Shortage,No Shortage
1414,Licensed Club Managers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
1419,Other Accommodation and Hospitality Managers,At economy-wide average,Yet to be Determined,Shortage,Shortage,No Shortage,Shortage,Shortage,No Shortage,Shortage,Shortage,Shortage
1421,Retail Managers,At economy-wide average,Short Training Gap,Regional Shortage,Regional Shortage,Regional Shortage,Regional Shortage,Regional Shortage,Regional Shortage,Regional Shortage,Shortage,No Shortage
1491,"Amusement, Fitness and Sports Centre Managers",At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage
1492,Call or Contact Centre and Customer Service Managers,At economy-wide average,,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage
