job_name,job_openings,salary,job_growth,job_satisfaction,review_num,job_field
Yardperson,281,$65K,,3.9,Based on 12 reviews,Trades & Services
Yard Assistant,100,$53K,,,,Trades & Services
Workshop Supervisor,"1,375",$120K,,4,Based on 19 reviews,Trades & Services
Workshop Manager,"2,522",$115K,,4.3,Based on 15 reviews,Trades & Services
Works Officer,"1,081",$75K,,,,Trades & Services
Windscreen Fitter,100,$60K,0.40%,5,Based on 1 review,Trades & Services
Wheel Alignment Technician,100,$63K,,3.6,Based on 5 reviews,Trades & Services
Welder,"5,816",$80K,3.20%,4,Based on 45 reviews,Trades & Services
Vehicle Technician,"4,130",$80K,,3.5,Based on 2 reviews,Trades & Services
Vehicle Mechanic,"3,030",$78K,-0.70%,4,Based on 1 review,Trades & Services
Vehicle Body Builder,"4,095",$75K,6.10%,4.2,Based on 6 reviews,Trades & Services
Tyre Technician,304,$80K,,3.4,Based on 18 reviews,Trades & Services
Tyre Fitter,"1,224",$105K,0.40%,4,Based on 19 reviews,Trades & Services
Truck Mechanic,"2,228",$95K,-0.70%,4.7,Based on 6 reviews,Trades & Services
Traffic Controller,"2,300",$70K,11.00%,3.5,Based on 183 reviews,Trades & Services
Tradesperson,"2,877",$85K,,3.5,Based on 6 reviews,Trades & Services
Trades Assistant,"5,203",$73K,6.10%,3.9,Based on 142 reviews,Trades & Services
Toolmaker,513,$83K,,3.7,Based on 7 reviews,Trades & Services
Tool Technician,,,,,,Trades & Services
Tinter,30,$63K,,,,Trades & Services
Tiler,617,$80K,-3.40%,3.4,Based on 19 reviews,Trades & Services
Testing Technician,130,$78K,,4.3,Based on 3 reviews,Trades & Services
Test Technician,135,$75K,,,,Trades & Services
Telecommunications Technician,"1,613",$85K,17.20%,3.7,Based on 9 reviews,Trades & Services
Technician,"12,639",$75K,,3.8,Based on 76 reviews,Trades & Services
Tailor,"10,098",$68K,9.50%,4,Based on 2 reviews,Trades & Services
TIG Welder,"1,636",$73K,2.10%,4,Based on 6 reviews,Trades & Services
Systems Technician,202,$95K,,,,Trades & Services
Swimming Pool Technician,149,$63K,,,,Trades & Services
Stylist,"5,891",$65K,28.40%,4.1,Based on 25 reviews,Trades & Services
Stonemason,98,$73K,2.00%,3.9,Based on 19 reviews,Trades & Services
Steelfixer,160,$85K,2.10%,4.3,Based on 20 reviews,Trades & Services
Spraypainter,872,$90K,1.60%,4,Based on 48 reviews,Trades & Services
Spa Manager,135,$78K,,4.3,Based on 4 reviews,Trades & Services
Solid Plasterer,109,$85K,,3.8,Based on 4 reviews,Trades & Services
Signwriter,716,$68K,,3.6,Based on 5 reviews,Trades & Services
Signmaker,100,$65K,0.90%,3.5,Based on 2 reviews,Trades & Services
Shipwright,100,$73K,0.10%,4.4,Based on 5 reviews,Trades & Services
Sheetmetal Worker,471,$78K,,3.3,Based on 10 reviews,Trades & Services
Service and Installation Technician,"1,470",$75K,,4,Based on 1 review,Trades & Services
Service Technician,"5,742",$80K,6.10%,3.7,Based on 94 reviews,Trades & Services
Service Supervisor,740,$105K,,4.1,Based on 10 reviews,Trades & Services
Service Specialist,"3,212",$85K,,4.7,Based on 6 reviews,Trades & Services
Service Representative,974,$75K,,3.5,Based on 2 reviews,Trades & Services
Service Operator,552,$65K,,5,Based on 1 review,Trades & Services
Service Manager,"9,472",$115K,4.40%,4,Based on 89 reviews,Trades & Services
Service Desk Consultant,158,$70K,,5,Based on 1 review,Trades & Services
Service Controller,100,$78K,,,,Trades & Services
Service Adviser,"1,575",$73K,,3.3,Based on 80 reviews,Trades & Services
Security Technician,"1,019",$98K,,3.6,Based on 7 reviews,Trades & Services
Security System Technician,226,$88K,,,,Trades & Services
Security Supervisor,668,$85K,,4.1,Based on 12 reviews,Trades & Services
