course_id,location_name,city,state
078241E,"Canberra Institute of Technology - Vowels cresent, BRUCE",BRUCE,ACT
081441D,"Canberra Institute of Technology - Vowels cresent, BRUCE",BRUCE,ACT
089975J,"Canberra Institute of Technology - Vowels cresent, BRUCE",BRUCE,ACT
089976G,"Canberra Institute of Technology - Vowels cresent, BRUCE",BRUCE,ACT
090935G,"Canberra Institute of Technology - City Campus - Constitution Ave, REID",REID,ACT
090978G,"Canberra Institute of Technology - City Campus - Constitution Ave, REID",REID,ACT
091136G,"Canberra Institute of Technology - City Campus - Constitution Ave, REID",REID,ACT
091154F,"Canberra Institute of Technology - Vowels cresent, BRUCE",BRUCE,ACT
091155E,"Canberra Institute of Technology - Vowels cresent, BRUCE",BRUCE,ACT
091156D,"Canberra Institute of Technology - Vowels cresent, BRUCE",BRUCE,ACT
094135G,"Canberra Institute of Technology - City Campus - Constitution Ave, REID",REID,ACT
094147C,"Canberra Institute of Technology - City Campus - Constitution Ave, REID",REID,ACT
094148B,"Canberra Institute of Technology - City Campus - Constitution Ave, REID",REID,ACT
094149A,"Canberra Institute of Technology - City Campus - Constitution Ave, REID",REID,ACT
094153E,"Canberra Institute of Technology - City Campus - Constitution Ave, REID",REID,ACT
094472A,"Canberra Institute of Technology - City Campus - Constitution Ave, REID",REID,ACT
097541B,"Canberra Institute of Technology - City Campus - Constitution Ave, REID",REID,ACT
097543M,"Canberra Institute of Technology - City Campus - Constitution Ave, REID",REID,ACT
097544K,"Canberra Institute of Technology - City Campus - Constitution Ave, REID",REID,ACT
097545J,"Canberra Institute of Technology - City Campus - Constitution Ave, REID",REID,ACT
097546G,"Canberra Institute of Technology - City Campus - Constitution Ave, REID",REID,ACT
097547G,"Canberra Institute of Technology - City Campus - Constitution Ave, REID",REID,ACT
097548F,"Canberra Institute of Technology - City Campus - Constitution Ave, REID",REID,ACT
098125K,"Canberra Institute of Technology - City Campus - Constitution Ave, REID",REID,ACT
099898A,"Canberra Institute of Technology - City Campus - Constitution Ave, REID",REID,ACT
104558H,"Canberra Institute of Technology - City Campus - Constitution Ave, REID",REID,ACT
