institution_id,institution_name,course_id,course_name,foe1_broad_field,foe1_narrow_field,foe1_detailed_field,course_level,course_duration,tuition_fee,non_tuition_fee,total_course_cost
00001K,Canberra Institute of Technology,078241E,ACT Year 12 Certificate,12 - Mixed Field Programmes,1201 - General Education Programmes,120101 - General Primary and Secondary Education Programmes,Senior Secondary Certificate of Education,44,13300.0,150.0,13450.0
00001K,Canberra Institute of Technology,081441D,Certificate IV in Youth Work,09 - Society and Culture,0905 - Human Welfare Studies and Services,090505 - Youth Work,Certificate IV,52,15660.0,175.0,15835.0
00001K,Canberra Institute of Technology,089975J,Certificate IV in Community Services,09 - Society and Culture,0905 - Human Welfare Studies and Services,090515 - Welfare Studies,Certificate IV,52,15660.0,175.0,15835.0
00001K,Canberra Institute of Technology,089976G,Diploma of Community Services,09 - Society and Culture,0905 - Human Welfare Studies and Services,090515 - Welfare Studies,Diploma,52,15660.0,175.0,15835.0
00001K,Canberra Institute of Technology,090935G,Certificate III in Hospitality,"11 - Food, Hospitality and Personal Services",1101 - Food and Hospitality,110101 - Hospitality,Certificate III,26,6850.0,475.0,7325.0
00001K,Canberra Institute of Technology,090978G,Diploma of Hospitality Management,08 - Management and Commerce,0803 - Business and Management,080319 - Hospitality Management,Diploma,52,18750.0,0.0,18750.0
00001K,Canberra Institute of Technology,091136G,Advanced Diploma of Hospitality Management,08 - Management and Commerce,0803 - Business and Management,080319 - Hospitality Management,Advanced Diploma,26,7410.0,300.0,7710.0
00001K,Canberra Institute of Technology,091154F,Certificate IV in Alcohol and Other Drugs,09 - Society and Culture,0905 - Human Welfare Studies and Services,090501 - Social Work,Certificate IV,52,15660.0,425.0,16085.0
00001K,Canberra Institute of Technology,091155E,Certificate IV in Mental Health,09 - Society and Culture,0905 - Human Welfare Studies and Services,090501 - Social Work,Certificate IV,52,15660.0,175.0,15835.0
00001K,Canberra Institute of Technology,094149A,Certificate III in Hairdressing,"11 - Food, Hospitality and Personal Services",1103 - Personal Services,110303 - Hairdressing,Certificate III,78,22230.0,2005.0,24235.0
00001K,Canberra Institute of Technology,094153E,Certificate III in Barbering,"11 - Food, Hospitality and Personal Services",1103 - Personal Services,110303 - Hairdressing,Certificate III,52,14820.0,2420.0,17240.0
00001K,Canberra Institute of Technology,094472A,Diploma of Travel and Tourism Management,08 - Management and Commerce,0803 - Business and Management,"080399 - Business and Management, n.e.c.",Diploma,26,6650.0,50.0,6700.0
00001K,Canberra Institute of Technology,097541B,English for Study and Life (Elementary),09 - Society and Culture,0915 - Language and Literature,091501 - ELICOS,Non AQF Award,15,3500.0,175.0,3675.0
00001K,Canberra Institute of Technology,097543M,English for Study and Life (Pre-Intermediate),09 - Society and Culture,0915 - Language and Literature,091501 - ELICOS,Non AQF Award,15,3500.0,175.0,3675.0
00001K,Canberra Institute of Technology,097544K,English for Study and Life (Intermediate),09 - Society and Culture,0915 - Language and Literature,091501 - ELICOS,Non AQF Award,15,3500.0,175.0,3675.0
00001K,Canberra Institute of Technology,097545J,English for Study and Life (Upper-Intermediate),09 - Society and Culture,0915 - Language and Literature,091501 - ELICOS,Non AQF Award,15,3500.0,175.0,3675.0
00001K,Canberra Institute of Technology,097546G,English for Study and Life (Advanced),09 - Society and Culture,0915 - Language and Literature,091501 - ELICOS,Non AQF Award,15,3500.0,175.0,3675.0
00001K,Canberra Institute of Technology,097547G,English for Study and Life (Academic),09 - Society and Culture,0915 - Language and Literature,091501 - ELICOS,Non AQF Award,15,3500.0,175.0,3675.0
00001K,Canberra Institute of Technology,097548F,English for Study and Life (Preparation for IELTS 7),09 - Society and Culture,0915 - Language and Literature,091501 - ELICOS,Non AQF Award,15,3800.0,0.0,3800.0
00001K,Canberra Institute of Technology,099898A,Preparation for the Pearson Test of English Academic,09 - Society and Culture,0915 - Language and Literature,091501 - ELICOS,Non AQF Award,13,4150.0,50.0,4200.0
00001K,Canberra Institute of Technology,104558H,Certificate IV in Leadership and Management,08 - Management and Commerce,0803 - Business and Management,080301 - Business Management,Certificate IV,26,7410.0,300.0,7710.0
00001K,Canberra Institute of Technology,104559G,Diploma of Leadership and Management,08 - Management and Commerce,0803 - Business and Management,080301 - Business Management,Diploma,26,6850.0,300.0,7150.0
00001K,Canberra Institute of Technology,104665E,Certificate IV in Building and Construction,04 - Architecture and Building,0403 - Building,040303 - Building Construction Management,Certificate IV,78,23490.0,0.0,23490.0
00001K,Canberra Institute of Technology,104671G,Diploma of Building and Construction (Building),04 - Architecture and Building,0403 - Building,040303 - Building Construction Management,Diploma,104,31320.0,130.0,31450.0
00001K,Canberra Institute of Technology,105812B,Diploma of Graphic Design,10 - Creative Arts,1005 - Graphic and Design Studies,100501 - Graphic Arts and Design Studies,Diploma,78,23490.0,3300.0,26790.0
