institution_id,institution_name,institution_type
00001K,Canberra Institute of Technology,Government
00002J,Macquarie University (Macquarie),Government
00003G,University of New England,Government
00004G,Australian Catholic University Limited,Government
00005F,Charles Sturt University (CSU),Government
00008C,Monash University (Monash),Government
00011G,Gordon Institute of TAFE,Government
00012G,Holmesglen Institute,Government
00017B,Bond University,Private
00018A,Department for Education,Government
00020G,Department of Training and Workforce Development,Government
00025B,The University of Queensland,Government
00026A,The University of Sydney,Government
00040C,Holmes Colleges Sydney Pty Ltd,Private
00051M,ELC Career College Pty Ltd,Private
00053J,Universal Education Centre Pty Ltd,Private
00057E,Alexander Language School Pty Ltd,Private
00061J,Milner International College of English (WA) Pty Ltd,Private
00066D,Keyseq Pty Ltd,Private
00067C,Holmes Commercial Colleges (Melbourne) Ltd,Private
00080F,You Study Pty Ltd,Private
00092B,TAFE SA,Government
00094M,South Australian College of English Pty Ltd,Private
00098G,The University of New South Wales (UNSW),Government
00099F,University of Technology Sydney (UTS),Government
00102E,University of Wollongong (UoW),Government
00103D,Federation University Australia,Government
00109J,The University of Newcastle (UoN),Government
00111D,Swinburne University of Technology,Government
00113B,Deakin University (Deakin),Government
00114A,Flinders University,Government
00115M,La Trobe University (La Trobe),Government
00116K,The University of Melbourne (UniMelb),Government
00117J,James Cook University,Government
00120C,Australian National University,Government
00121B,University of South Australia (UniSA),Government
00122A,Royal Melbourne Institute of Technology,Government
00123M,The University of Adelaide (Adelaide),Government
00124K,Victoria University,Government
00125J,Murdoch University (Murdoch),Government
00126G,The University of Western Australia (UWA),Government
00129E,Ballarat and Queen's Anglican Grammar School,Private
00131M,Billanook College Limited,Private
00132K,Brighton Grammar School,Private
00134G,The Camberwell Grammar School,Private
00135G,Carey Baptist Grammar School Limited,Private
00136F,Caulfield Grammar School,Private
00138D,Eltham College,Private
00139C,Fintona Girls School,Private
00140K,Firbank Grammar School,Private
00141J,Camberwell Anglican Girls' Grammar School,Private
00142G,The Geelong College,Private
00143G,Geelong Grammar School,Private
00144F,The Hamilton and Alexandra College,Private
00145E,Huntingtower School Association,Private
00147C,The Ivanhoe Grammar School,Private
00149A,Kilvington Grammar School Limited,Private
00150G,Kingswood College Limited,Private
00151G,The Knox School Limited,Private
00152F,Lauriston Girls' School,Private
00159K,Waterfall Investments Pty Ltd,Private
00161E,Kent Institute Australia Pty Ltd,Private
00172B,Mercury Colleges Pty. Limited,Private
00181A,Lan-Grove Office Training Centre Pty Ltd,Private
00197D,Acknowledge Education Pty Ltd,Private
00202A,Cairns Business College Limited,Private
00212K,University of Canberra,Government
00213J,Queensland University of Technology (QUT),Government
00219C,Central Queensland University,Government
00231G,Australian College of Natural Medicine Pty Ltd,Private
00233E,Griffith University,Government
00244B,University of Southern Queensland,Government
00246M,Think: Colleges Pty Ltd,Private
00253A,The Australian Ballet School,Private
00257G,Photography Holdings Pty Ltd,Private
00277D,Royal Victorian Aero Club,Private
00279B,Edith Cowan University,Government
00289M,Navitas English Services Pty Ltd,Private
00296A,Airways Aviation Education Pty Ltd,Private
00300K,Charles Darwin University (CDU),Government
00301J,Curtin University,Government
00306D,Marcus Oldham College,Private
00312F,SAE Institute Pty Ltd,Private
00322D,Melbourne Girls Grammar - An Anglican School,Private
00323C,Mentone Grammar School,Private
00324B,Mentone Girls Grammar School,Private
00325A,Methodist Ladies' College Limited,Private
00331C,Life Ministry Centre Limited,Private
00333A,The Peninsula School,Private
00334M,Presbyterian Ladies' College,Private
00336J,Ruyton,Private
00339F,Shelford Girls' Grammar,Private
00340B,Gippsland Grammar,Private
00341A,King's Christian Education Ltd.,Private
00343K,St Leonard's College,Private
00344J,St Margaret's School,Private
00345G,St Michael's Grammar School,Private
00348E,Tintern Grammar,Private
00349D,Toorak College,Private
00350M,Trinity Grammar School Kew,Private
00354G,Wesley College Melbourne,Private
00355F,Westbourne Grammar School,Private
00356E,Yarra Valley Grammar School,Private
00360J,Concordia College Inc,Private
00362G,Immanuel College,Private
00365D,Mercedes College Springfield,Private
00366C,Muirden Senior Secondary College,Private
00367B,Pembroke School Inc,Private
00368A,Prince Alfred College Inc,Private
00369M,Pulteney Grammar School,Private
00371F,St Aloysius College,Private
00373D,St Peter's Collegiate Girls' School,Private
00374C,Trinity College - North,Private
00375B,Wilderness School,Private
00379J,St Paul's International College,Private
00380E,Ascham School Ltd,Private
00382C,Georges River Grammar School Ltd,Private
00399E,Knox Grammar School,Private
00401E,Masada College,Private
00415K,Redeemer Baptist School Ltd,Private
00428E,Edmund Rice Education Australia Colleges Ltd,Private
00431K,Bunbury Cathedral Grammar School Inc,Private
00433G,Christ Church Grammar School Inc,Private
00437D,Guildford Grammar School Inc,Private
00438C,The Governors of Hale School,Private
00441G,Methodist Ladies' College,Private
00444E,Penrhos College,Private
00445D,Perth College Inc,Private
00447B,Presbyterian Ladies College Incorporated,Private
00449M,Scotch College,Private
00451F,Mercy Education Limited,Private
00452E,St Hilda's Anglican School for Girls Inc.,Private
00454C,St Mary's Anglican Girls' School Inc,Private
00459J,Swan Christian Education Association Inc,Private
00460E,Wesley College,Private
00463B,Canning College,Government
00466K,St John's Catholic College,Private
00476G,Fahan School,Private
00477G,The Friends' School Incorporated,Private
00478F,HUTCHINS SCHOOL BOARD OF MANAGEMENT,Private
00480A,SCOTCH OAKBURN COLLEGE,Private
00482K,ST MICHAEL'S COLLEGIATE SCHOOL,Private
00487E,The Corporation of the Synod of the Diocese of Brisbane,Private
00488D,Blackheath and Thornburgh College,Private
00489C,Board of Trustees of the Brisbane Grammar School,Private
00491J,The Presbyterian and Methodist Schools Association,Private
00493G,The Presbyterian and Methodist Schools Association,Private
00494F,Downlands College Ltd,Private
00496D,The Corporation of the Synod of the Diocese of Brisbane - The Glennie School,Private
00499A,Board of Trustees of the Ipswich Grammar School,Private
00500B,John Paul College Limited,Private
00503K,Lourdes Hill College,Private
00506G,The Roman Catholic Trust Corporation for the Diocese of Rockhampton,Private
00507F,Board of Trustees of the Rockhampton Grammar School,Private
00508E,Board of the Trustees of the Rockhampton Girls' Grammar School,Private
00509D,The Roman Catholic Trust Corporation for the Diocese of Cairns,Private
00510M,The Corporation of the Synod of the Diocese of Brisbane - St Hilda's School,Private
00511K,St Margaret's School Council Ltd,Private
00515F,The Corporation of the Synod of the Diocese of Brisbane,Private
00516E,Lutheran Church of Australia - Queensland District,Private
00517D,Corporation of the Roman Catholic Diocese of Toowoomba,Private
00521G,Somerset College Limited,Private
00522G,The Presbyterian and Methodist Schools Association,Private
00523F,The Corporation of the Synod of the Diocese of Brisbane,Private
00524E,Stuartholme School,Private
00525D,Board of Trustees of the Toowoomba Grammar School,Private
00533D,Board of Trustees of the Ipswich Girls' Grammar School,Private
00537M,The Uniting Church in Australia Property Trust (Q.),Private
00539J,Christian Outreach Centre,Private
00540E,Bethel Christian School Limited,Private
00544A,Kinross Wolaroi School,Private
00553M,St Philip's Christian Education Foundation Ltd,Private
00557G,Ballarat and Clarendon College,Private
00558F,Loyola College,Private
00561M,Educational Enterprises Australia Pty Ltd,Private
00563J,Walford Anglican School for Girls,Private
00564G,Board of Trustees of the Townsville Grammar School,Private
00572G,Edmund Rice Education Australia Colleges Ltd,Private
00574F,St. Catherine's School,Private
00577C,Strathcona Baptist Girls Grammar School Limited,Private
00578B,Heathdale Christian College Limited,Private
00580G,Canberra Grammar School,Private
00581G,Lutheran Church of Australia - Queensland District,Private
00586B,University of Tasmania (UTas),Government
00588M,NSW Department of Education,Government
00589K,Mater Christi College,Private
00591E,Technical and Further Education Commission,Government
00602G,Westminster School Inc,Private
00603F,Saint Ignatius' College,Private
00607B,Sarina Russo Schools Australia Pty Ltd,Private
00608A,Department of Education,Government
00615B,Scotch College,Private
00617M,Monivae College,Private
00620E,St Patricks College Ballarat,Private
00624A,Scotch College,Private
00628G,Seymour College Inc,Private
00629G,Loreto College,Private
00643J,ACT Education Directorate,Government
00649C,Haileybury,Private
00650K,LAUNCESTON CHURCH GRAMMAR SCHOOL,Private
00663E,Queensland School of Beauty Therapy Pty Ltd,Private
00665C,The Australian Institute of Music Limited,Private
00670F,Marist Schools Australia Limited,Private
00682B,Moore Theological College Council,Private
00709G,Trinity College,Private
00712A,The Corporation of the Synod of the Diocese of Brisbane,Private
00713M,SCECGS Redlands Limited,Private
00715J,Edmund Rice Education Australia Colleges Ltd,Private
00724G,Melbourne Polytechnic,Government
00743E,St Marys College Melbourne,Private
00745C,Catholic Education Western Australia Limited,Private
00756M,The National Institute of Dramatic Art (NIDA),Government
00765K,Catholic Education Western Australia Limited,Private
00770B,Trinity Anglican School Ltd,Private
00772M,Sydney Church of England Grammar School Council,Private
00780M,Department of Education,Government
00859D,UTS College Limited,Private
00861K,Department of Education,Government
00871G,MERCY EDUCATION LIMITED,Private
00874E,St Joseph's College,Private
00878A,Lutheran Church of Australia - Queensland District,Private
00881F,Chisholm Institute,Government
00897J,The Pittwater House Schools Ltd,Private
00898G,Holmes Commercial Colleges (Melbourne) Limited,Private
00899G,The Institute of Creative Arts and Technology,Private
00902F,A B Paterson College Limited,Private
00909K,Brisbane Christian College,Private
00917K,Western Sydney University,Government
00923A,Redlands College Ltd,Private
00956C,Cass Training Pty Ltd,Private
00958A,Alphacrucis University College Limited,Private
00959M,The Cathedral School of St Anne and St James,Private
00969J,Seventh-Day Adventist Schools (South Queensland) Ltd,Private
00971D,Haileybury Rendall School,Private
00972C,Edmund Rice Education Australia Colleges Ltd,Private
00974A,The Ivanhoe Girls Grammar School,Private
00977J,Melbourne Grammar School,Private
00978G,Seventh-Day Adventist Schools (Victoria) Limited,Private
00979G,All Saints Anglican School Limited,Private
00986G,Perth Bible College (Inc),Private
