location_name,address_line_1,city,state,postcode
"Canberra Institute of Technology - City Campus - Constitution Ave, REID",37 Constitution Ave,REID,ACT,2612
"Canberra Institute of Technology - Vowels cresent, BRUCE",Vowels cres,BRUCE,ACT,2617
CIT Tuggeranong,CIT Tuggeranong - 205 Anketell St,GREENWAY,ACT,2900
Macquarie University Sydney City Campus (Angel Place),Levels 23 & 24,Sydney,NSW,2000
Macquarie University Wallumattagal Campus at North Ryde,Balaclava Rd,NORTH RYDE,NSW,2113
"Church Street, Parramatta campus",211 Church St,Parramatta,NSW,2150
"Level 3, 112-118 Rundle Mall, Adelaide SA 5000","Level 3, 112-118 Rundle Mall",Adelaide,SA,5000
"Level 3, 68 Grenfell Street, Adelaide","Level 3, 68 Grenfell Street",Adelaide,SA,5000
"Level 4, 100 George Street, Parramatta campus",Level 4,Parramatta,NSW,2150
University of New England,17 Arts Rd,ARMIDALE,NSW,2351
University of New England (ELICOS operations),English Language Centre,ARMIDALE,NSW,2350
Australian Catholic University - Brisbane Leadership Centre,"Level 3, 229 Elizabeth Street",Brisbane,QLD,4000
Australian Catholic University-Ballarat Campus,1200 Mair St,Ballarat,VIC,3350
Australian Catholic University-Blacktown CBD Campus,22 Main St,Blacktown,NSW,2148
Australian Catholic University-Brisbane Campus,1100 Nudgee Rd,BANYO,QLD,4014
Australian Catholic University-Canberra Campus,223 Antill St,Watson,ACT,2602
Australian Catholic University-Melbourne Campus,Victoria Pde,FITZROY,VIC,3065
Australian Catholic University-North Sydney Campus,40 Edward St,NORTH SYDNEY,NSW,2060
Strathfield Campus,25A Barker Rd,STRATHFIELD,NSW,2135
"77 Berry St, North Sydney, NSW 2060",77 Berry Street,North Sydney,NSW,2060
Albury,Elizabeth Mitchell Dr,Thurgoona,NSW,2640
Bathurst,Panorama Ave,Bathurst,NSW,2795
CSU Study Centre Melbourne,30 Church Lane,Melbourne,VIC,3000
Dubbo,Tony McGrane Pl,Dubbo,NSW,2830
Holmesglen Institute of TAFE,1 Batesford Rd,CHADSTONE,VIC,3148
"Level 3, 222 Bourke Street, Melbourne, VIC, 3000","Level 3, 222 Bourke Street",Melbourne,VIC,3000
Orange,Leeds Pde,Orange,NSW,2800
Port Macquarie (7 Major Innes Road),7 Major Innes Rd,Port Macquarie,NSW,2444
St Marks Theological Centre,15 Blackall St,Barton,ACT,2600
United Theological College,16 Masons Dr,North Parramatta,NSW,2800
Wagga Wagga,Boorooma St,Wagga Wagga,NSW,2675
Alfred Hospital Precinct,"Level 6, Alfred Centre",Melbourne,VIC,3004
Churchill,Northways Rd,Churchill,VIC,3842
Monash Caulfield,900 Dandenong Rd,Caulfield East,VIC,3145
Monash City,Level 7,Melbourne,VIC,3000
Monash Clayton,Wellington Rd,CLAYTON,VIC,3800
Monash Collins Street,750 Collins Street,Docklands,VIC,3008
Monash Law Chambers,555 Lonsdale St,Melbourne,VIC,3000
Monash Parkville,381 Royal Pde,Parkville,VIC,3052
Monash Peninsula,Moorooduc Hwy,Frankston,VIC,3199
"180 Princess Street, Werribee VIC",180 Princess St,Werribee,VIC,3030
185 St Albans Road,185 St Albans Rd,East Geelong,VIC,3219
24 Watton St WERRIBEE,24 Watton St,WERRIBEE,VIC,3030
Gordon Institute of TAFE - GEELONG,2 Fenwick St,GEELONG,VIC,3220
206 Bourke St MELBOURNE VIC,206 Bourke St,Melbourne,VIC,3000
Chadstone Campus,1 Batesford Rd,CHADSTONE,VIC,3148
City Campus,332 St Kilda Rd,Southbank,VIC,3006
Moorabbin Campus,488 South Rd,Moorabbin,VIC,3189
Waverley Campus,585 Waverly Rd,Glen Waverley,VIC,3150
